Geographic,State,NAME,FY 2021 PPRN
129109,FL,St. Johns County,"$315,467"
129111,FL,St. Lucie County,"$209,510"
129113,FL,Santa Rosa County,"$376,554"
129115,FL,Sarasota County,"$1,531,077"
129117,FL,Seminole County,"$1,814,489"
129119,FL,Sumter County,"$207,192"
129121,FL,Suwannee County,"$164,619"
129123,FL,Taylor County,"$95,433"
129125,FL,Union County,"$55,373"
129127,FL,Volusia County,"$1,610,840"
129129,FL,Wakulla County,"$72,306"
129131,FL,Walton County,"$216,191"
129133,FL,Washington County,"$81,106"
130054,GA,Albany,"$282,315"
130168,GA,Athens-Clarke County,"$446,856"
130174,GA,Atlanta,"$6,168,677"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
130192,GA,Augusta-Richmond County,"$1,554,893"
130444,GA,Brunswick,"$121,971"
130750,GA,Columbus-Muscogee County,"$1,437,746"
130882,GA,Dalton,"$137,682"
131314,GA,Gainesville,"$152,332"
131566,GA,Hinesville,"$73,012"
131968,GA,Macon-Bibb County,"$1,639,001"
131998,GA,Marietta,"$171,027"
132814,GA,Rome,"$139,019"
132832,GA,Roswell,"$159,642"
132890,GA,Sandy Springs City,"$207,032"
132916,GA,Savannah,"$1,993,185"
133000,GA,Smyrna City,"$100,942"
133354,GA,Valdosta,"$208,893"
133432,GA,Warner Robins,"$211,782"
139001,GA,Appling County,"$72,828"
139003,GA,Atkinson County,"$33,418"
139005,GA,Bacon County,"$34,781"
139007,GA,Baker County,"$12,151"
139009,GA,Baldwin County,"$127,490"
139011,GA,Banks County,"$43,790"
139013,GA,Barrow County,"$158,832"
139015,GA,Bartow County,"$242,612"
139017,GA,Ben Hill County,"$51,106"
139019,GA,Berrien County,"$57,115"
139023,GA,Bleckley County,"$42,736"
139025,GA,Brantley County,"$54,291"
139027,GA,Brooks County,"$70,967"
139029,GA,Bryan County,"$71,428"
139031,GA,Bulloch County,"$242,001"
139033,GA,Burke County,"$88,529"
139035,GA,Butts County,"$87,615"
139037,GA,Calhoun County,"$26,548"
139039,GA,Camden County,"$108,832"
139043,GA,Candler County,"$47,574"
139045,GA,Carroll County,"$358,899"
139047,GA,Catoosa County,"$114,623"
139049,GA,Charlton County,"$29,493"
139051,GA,Chatham County,"$267,438"
139053,GA,Chattahoochee County,"$54,238"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
139055,GA,Chattooga County,"$103,892"
139057,GA,Cherokee County,"$396,642"
139061,GA,Clay County,"$21,258"
139063,GA,Clayton County,"$2,159,965"
139065,GA,Clinch County,"$29,910"
139067,GA,Cobb County,"$2,877,205"
139069,GA,Coffee County,"$118,412"
139071,GA,Colquitt County,"$155,283"
139073,GA,Columbia County,"$213,253"
139075,GA,Cook County,"$54,941"
139077,GA,Coweta County,"$278,889"
139079,GA,Crawford County,"$34,622"
139081,GA,Crisp County,"$82,101"
139083,GA,Dade County,"$38,980"
139085,GA,Dawson County,"$47,837"
139087,GA,Decatur County,"$120,043"
139089,GA,De Kalb County,"$4,534,634"
139091,GA,Dodge County,"$63,366"
139093,GA,Dooly County,"$57,413"
139095,GA,Dougherty County,"$39,699"
139097,GA,Douglas County,"$300,588"
139099,GA,Early County,"$44,475"
139101,GA,Echols County,"$14,326"
139103,GA,Effingham County,"$109,460"
139105,GA,Elbert County,"$80,772"
139107,GA,Emanuel County,"$91,322"
139109,GA,Evans County,"$44,507"
139111,GA,Fannin County,"$65,969"
139113,GA,Fayette County,"$149,286"
139115,GA,Floyd County,"$180,592"
139117,GA,Forsyth County,"$295,749"
139119,GA,Franklin County,"$70,518"
139121,GA,Fulton County,"$1,609,795"
139123,GA,Gilmer County,"$79,614"
139125,GA,Glascock County,"$15,195"
139127,GA,Glynn County,"$165,246"
139129,GA,Gordon County,"$158,949"
139131,GA,Grady County,"$87,225"
139133,GA,Greene County,"$61,861"
139135,GA,Gwinnett County,"$4,750,571"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
139137,GA,Habersham County,"$119,028"
139139,GA,Hall County,"$416,264"
139141,GA,Hancock County,"$33,675"
139143,GA,Haralson County,"$72,346"
139145,GA,Harris County,"$76,640"
139147,GA,Hart County,"$87,702"
139149,GA,Heard County,"$37,168"
139151,GA,Henry County,"$379,679"
139153,GA,Houston County,"$177,218"
139155,GA,Irwin County,"$38,782"
139157,GA,Jackson County,"$132,691"
139159,GA,Jasper County,"$44,427"
139161,GA,Jeff Davis County,"$48,875"
139163,GA,Jefferson County,"$76,448"
139165,GA,Jenkins County,"$46,421"
139167,GA,Johnson County,"$43,539"
139169,GA,Jones County,"$58,934"
139171,GA,Lamar County,"$71,477"
139173,GA,Lanier County,"$28,725"
139175,GA,Laurens County,"$152,797"
139177,GA,Lee County,"$48,328"
139179,GA,Liberty County,"$65,735"
139181,GA,Lincoln County,"$30,167"
139183,GA,Long County,"$44,640"
139185,GA,Lowndes County,"$136,821"
139187,GA,Lumpkin County,"$75,075"
139189,GA,McDuffie County,"$69,419"
139191,GA,McIntosh County,"$52,685"
139193,GA,Macon County,"$58,923"
139195,GA,Madison County,"$88,041"
139197,GA,Marion County,"$33,082"
139199,GA,Meriwether County,"$104,337"
139201,GA,Miller County,"$26,247"
139205,GA,Mitchell County,"$76,399"
139207,GA,Monroe County,"$56,327"
139209,GA,Montgomery County,"$30,159"
139211,GA,Morgan County,"$54,339"
139213,GA,Murray County,"$114,286"
139217,GA,Newton County,"$243,698"
139219,GA,Oconee County,"$58,935"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
139221,GA,Oglethorpe County,"$45,138"
139223,GA,Paulding County,"$266,274"
139225,GA,Peach County,"$74,381"
139227,GA,Pickens County,"$59,984"
139229,GA,Pierce County,"$63,054"
139231,GA,Pike County,"$57,991"
139233,GA,Polk County,"$168,891"
139235,GA,Pulaski County,"$38,630"
139237,GA,Putnam County,"$54,759"
139239,GA,Quitman County,"$6,647"
139241,GA,Rabun County,"$71,845"
139243,GA,Randolph County,"$58,527"
139247,GA,Rockdale County,"$213,187"
139249,GA,Schley County,"$20,800"
139251,GA,Screven County,"$67,252"
139253,GA,Seminole County,"$35,835"
139255,GA,Spalding County,"$179,447"
139257,GA,Stephens County,"$69,170"
139259,GA,Stewart County,"$27,164"
139261,GA,Sumter County,"$131,979"
139263,GA,Talbot County,"$31,597"
139265,GA,Taliaferro County,"$10,240"
139267,GA,Tattnall County,"$77,599"
139269,GA,Taylor County,"$31,870"
139271,GA,Telfair County,"$65,711"
139273,GA,Terrell County,"$67,695"
139275,GA,Thomas County,"$193,596"
139277,GA,Tift County,"$129,024"
139279,GA,Toombs County,"$103,587"
139281,GA,Towns County,"$28,039"
139283,GA,Treutlen County,"$33,129"
139285,GA,Troup County,"$242,897"
139287,GA,Turner County,"$41,872"
139289,GA,Twiggs County,"$24,171"
139291,GA,Union County,"$38,718"
139293,GA,Upson County,"$111,876"
139295,GA,Walker County,"$250,537"
139297,GA,Walton County,"$170,832"
139299,GA,Ware County,"$154,837"
139301,GA,Warren County,"$29,931"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
139303,GA,Washington County,"$87,089"
139305,GA,Wayne County,"$90,743"
139307,GA,Webster County,"$9,772"
139309,GA,Wheeler County,"$25,714"
139311,GA,White County,"$79,991"
139313,GA,Whitfield County,"$208,609"
139315,GA,Wilcox County,"$36,944"
139317,GA,Wilkes County,"$46,408"
139319,GA,Wilkinson County,"$31,924"
139321,GA,Worth County,"$87,511"
150144,HI,Honolulu,"$7,140,432"
159001,HI,Hawaii County,"$833,442"
159007,HI,Kauai County,"$221,981"
159009,HI,Maui County,"$595,044"
160102,ID,Boise,"$452,436"
160138,ID,Caldwell City,"$157,585"
160198,ID,Coeur D'Alene,"$107,580"
160510,ID,Idaho Falls,"$134,734"
160618,ID,Lewiston,"$78,833"
160684,ID,Meridian,"$155,226"
160762,ID,Nampa,"$254,143"
160906,ID,Pocatello,"$142,600"
161128,ID,Twin Falls,"$108,062"
169001,ID,Ada County,"$191,861"
169003,ID,Adams County,"$9,769"
169005,ID,Bannock County,"$65,108"
169007,ID,Bear Lake County,"$35,284"
169009,ID,Benewah County,"$27,396"
169011,ID,Bingham County,"$105,802"
169013,ID,Blaine County,"$45,954"
169015,ID,Boise County,"$12,363"
169017,ID,Bonner County,"$96,714"
169019,ID,Bonneville County,"$101,443"
169021,ID,Boundary County,"$33,198"
169023,ID,Butte County,"$8,226"
169025,ID,Camas County,"$4,775"
169027,ID,Canyon County,"$140,563"
169029,ID,Caribou County,"$22,457"
169031,ID,Cassia County,"$64,445"
169033,ID,Clark County,"$5,818"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
169035,ID,Clearwater County,"$24,997"
169037,ID,Custer County,"$14,827"
169039,ID,Elmore County,"$61,828"
169041,ID,Franklin County,"$46,442"
169043,ID,Fremont County,"$38,792"
169045,ID,Gem County,"$53,329"
169047,ID,Gooding County,"$46,694"
169049,ID,Idaho County,"$45,791"
169051,ID,Jefferson County,"$52,508"
169053,ID,Jerome County,"$66,722"
169055,ID,Kootenai County,"$196,925"
169057,ID,Latah County,"$138,452"
169059,ID,Lemhi County,"$27,716"
169061,ID,Lewis County,"$16,306"
169063,ID,Lincoln County,"$17,438"
169065,ID,Madison County,"$175,739"
169067,ID,Minidoka County,"$66,692"
169069,ID,Nez Perce County,"$21,029"
169071,ID,Oneida County,"$20,132"
169073,ID,Owyhee County,"$38,209"
169075,ID,Payette County,"$65,049"
169077,ID,Power County,"$22,855"
169079,ID,Shoshone County,"$77,147"
169081,ID,Teton County,"$18,042"
169083,ID,Twin Falls County,"$105,367"
169085,ID,Valley County,"$27,169"
169087,ID,Washington County,"$37,505"
170126,IL,Alton City,"$293,541"
170222,IL,Arlington Heights,"$88,393"
170342,IL,Aurora,"$1,321,825"
170522,IL,Belleville,"$226,967"
170606,IL,Berwyn,"$407,273"
170660,IL,Bloomington,"$177,336"
170690,IL,Bolingbrook,"$128,021"
171218,IL,Champaign,"$318,716"
171296,IL,Chicago,"$68,533,025"
171302,IL,Chicago Heights,"$181,535"
171332,IL,Cicero,"$1,468,110"
171692,IL,Danville,"$319,551"
171716,IL,Decatur,"$449,498"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
171746,IL,Dekalb,"$146,494"
171776,IL,Des Plaines,"$97,394"
171878,IL,Downers Grove,"$62,958"
172022,IL,East St Louis,"$1,357,286"
172094,IL,Elgin,"$275,247"
172238,IL,Evanston,"$1,582,891"
172814,IL,Granite City,"$225,035"
173228,IL,Hoffman Estates,"$78,152"
173480,IL,Joliet,"$303,375"
173540,IL,Kankakee,"$186,213"
174596,IL,Moline,"$257,568"
174734,IL,Mount Prospect,"$83,332"
174806,IL,Naperville,"$170,246"
175010,IL,Normal,"$132,576"
175052,IL,North Chicago,"$81,174"
175148,IL,Oak Lawn,"$97,424"
175154,IL,Oak Park,"$1,436,160"
175364,IL,Palatine Village,"$163,315"
175520,IL,Pekin,"$133,810"
175526,IL,Peoria,"$1,593,615"
175808,IL,Rantoul,"$109,493"
176000,IL,Rockford,"$1,872,128"
176006,IL,Rock Island,"$349,733"
176300,IL,Schaumburg Village,"$117,386"
176498,IL,Skokie,"$195,032"
176648,IL,Springfield,"$430,570"
177122,IL,Urbana,"$158,922"
177404,IL,Waukegan,"$253,343"
177548,IL,Wheaton City,"$62,103"
179001,IL,Adams County,"$221,233"
179003,IL,Alexander County,"$39,444"
179005,IL,Bond County,"$71,971"
179007,IL,Boone County,"$185,761"
179009,IL,Brown County,"$19,547"
179011,IL,Bureau County,"$135,253"
179013,IL,Calhoun County,"$19,076"
179015,IL,Carroll County,"$67,673"
179017,IL,Cass County,"$45,423"
179019,IL,Champaign County,"$208,419"
179021,IL,Christian County,"$122,000"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
179023,IL,Clark County,"$56,507"
179025,IL,Clay County,"$59,668"
179027,IL,Clinton County,"$85,417"
179029,IL,Coles County,"$194,543"
179031,IL,Cook County,"$8,913,844"
179033,IL,Crawford County,"$54,677"
179035,IL,Cumberland County,"$38,615"
179037,IL,DeKalb County,"$186,307"
179039,IL,De Witt County,"$60,024"
179041,IL,Douglas County,"$67,344"
179043,IL,Du Page County,"$3,022,371"
179045,IL,Edgar County,"$71,031"
179047,IL,Edwards County,"$20,933"
179049,IL,Effingham County,"$94,333"
179051,IL,Fayette County,"$82,921"
179053,IL,Ford County,"$54,613"
179055,IL,Franklin County,"$153,389"
179057,IL,Fulton County,"$143,967"
179059,IL,Gallatin County,"$16,686"
179061,IL,Greene County,"$65,245"
179063,IL,Grundy County,"$121,253"
179065,IL,Hamilton County,"$26,027"
179067,IL,Hancock County,"$79,923"
179069,IL,Hardin County,"$14,688"
179071,IL,Henderson County,"$27,059"
179073,IL,Henry County,"$180,692"
179075,IL,Iroquois County,"$114,163"
179077,IL,Jackson County,"$272,812"
179079,IL,Jasper County,"$28,212"
179081,IL,Jefferson County,"$155,657"
179083,IL,Jersey County,"$57,732"
179085,IL,Jo Daviess County,"$91,164"
179087,IL,Johnson County,"$35,884"
179089,IL,Kane County,"$429,291"
179091,IL,Kankakee County,"$200,033"
179093,IL,Kendall County,"$261,596"
179095,IL,Knox County,"$220,059"
179097,IL,Lake County,"$2,283,624"
179099,IL,LaSalle County,"$388,541"
179101,IL,Lawrence County,"$61,253"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
179103,IL,Lee County,"$128,132"
179105,IL,Livingston County,"$135,022"
179107,IL,Logan County,"$88,521"
179109,IL,McDonough County,"$126,652"
179111,IL,McHenry County,"$447,613"
179113,IL,McLean County,"$104,808"
179115,IL,Macon County,"$68,356"
179117,IL,Macoupin County,"$158,178"
179119,IL,Madison County,"$1,162,675"
179121,IL,Marion County,"$153,597"
179123,IL,Marshall County,"$41,715"
179125,IL,Mason County,"$54,150"
179127,IL,Massac County,"$59,538"
179129,IL,Menard County,"$40,187"
179131,IL,Mercer County,"$66,355"
179133,IL,Monroe County,"$59,183"
179135,IL,Montgomery County,"$95,167"
179137,IL,Morgan County,"$110,708"
179139,IL,Moultrie County,"$47,195"
179141,IL,Ogle County,"$167,254"
179143,IL,Peoria County,"$171,674"
179145,IL,Perry County,"$64,039"
179147,IL,Piatt County,"$45,026"
179149,IL,Pike County,"$64,096"
179151,IL,Pope County,"$15,357"
179153,IL,Pulaski County,"$23,565"
179155,IL,Putnam County,"$19,477"
179157,IL,Randolph County,"$86,210"
179159,IL,Richland County,"$54,599"
179161,IL,Rock Island County,"$209,471"
179163,IL,St Clair County,"$1,182,259"
179165,IL,Saline County,"$104,945"
179167,IL,Sangamon County,"$232,991"
179169,IL,Schuyler County,"$32,785"
179171,IL,Scott County,"$22,438"
179173,IL,Shelby County,"$74,462"
179175,IL,Stark County,"$25,383"
179177,IL,Stephenson County,"$198,370"
179179,IL,Tazewell County,"$202,952"
179181,IL,Union County,"$72,698"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
179183,IL,Vermilion County,"$177,784"
179185,IL,Wabash County,"$37,258"
179187,IL,Warren County,"$74,476"
179189,IL,Washington County,"$41,464"
179191,IL,Wayne County,"$63,110"
179193,IL,White County,"$46,555"
179195,IL,Whiteside County,"$167,920"
179197,IL,Will County,"$1,475,058"
179199,IL,Williamson County,"$209,931"
179201,IL,Winnebago County,"$309,051"
179203,IL,Woodford County,"$85,344"
180084,IN,Anderson,"$294,934"
180246,IN,Bloomington,"$283,213"
180450,IN,Carmel,"$89,848"
180624,IN,Columbus,"$99,007"
180846,IN,East Chicago,"$424,397"
180912,IN,Elkhart,"$241,362"
180954,IN,Evansville,"$2,333,927"
181014,IN,Fort Wayne,"$1,753,954"
181104,IN,Gary,"$2,892,966"
181158,IN,Goshen,"$86,484"
181230,IN,Greenwood,"$113,751"
181272,IN,Hammond,"$1,842,042"
181404,IN,Indianapolis,"$8,207,314"
181536,IN,Kokomo,"$262,318"
181566,IN,Lafayette,"$212,325"
181602,IN,La Porte,"$148,604"
181884,IN,Michigan City,"$212,771"
181950,IN,Mishawaka,"$152,097"
182100,IN,Muncie,"$403,991"
182130,IN,New Albany,"$214,001"
182886,IN,South Bend,"$2,185,033"
183042,IN,Terre Haute,"$1,322,009"
183282,IN,West Lafayette,"$141,463"
189001,IN,Adams County,"$162,350"
189003,IN,Allen County,"$195,067"
189005,IN,Bartholomew County,"$108,187"
189007,IN,Benton County,"$38,143"
189009,IN,Blackford County,"$46,768"
189011,IN,Boone County,"$119,811"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
189013,IN,Brown County,"$38,819"
189015,IN,Carroll County,"$68,744"
189017,IN,Cass County,"$163,911"
189019,IN,Clark County,"$232,204"
189021,IN,Clay County,"$92,141"
189023,IN,Clinton County,"$118,995"
189025,IN,Crawford County,"$35,296"
189027,IN,Daviess County,"$97,362"
189029,IN,Dearborn County,"$116,813"
189031,IN,Decatur County,"$77,326"
189033,IN,DeKalb County,"$144,744"
189035,IN,Delaware County,"$106,586"
189037,IN,Dubois County,"$113,435"
189039,IN,Elkhart County,"$260,455"
189041,IN,Fayette County,"$82,348"
189043,IN,Floyd County,"$55,166"
189045,IN,Fountain County,"$60,919"
189047,IN,Franklin County,"$63,032"
189049,IN,Fulton County,"$72,568"
189051,IN,Gibson County,"$91,822"
189053,IN,Grant County,"$225,358"
189055,IN,Greene County,"$107,162"
189057,IN,Hamilton County,"$253,740"
189059,IN,Hancock County,"$121,547"
189061,IN,Harrison County,"$105,440"
189063,IN,Hendricks County,"$267,133"
189065,IN,Henry County,"$165,344"
189067,IN,Howard County,"$53,453"
189069,IN,Huntington County,"$148,939"
189071,IN,Jackson County,"$131,068"
189073,IN,Jasper County,"$77,944"
189075,IN,Jay County,"$86,458"
189077,IN,Jefferson County,"$95,853"
189079,IN,Jennings County,"$80,542"
189081,IN,Johnson County,"$185,219"
189083,IN,Knox County,"$139,538"
189085,IN,Kosciusko County,"$213,033"
189087,IN,LaGrange County,"$110,897"
189089,IN,Lake County,"$477,690"
189091,IN,LaPorte County,"$120,868"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
189093,IN,Lawrence County,"$118,832"
189095,IN,Madison County,"$187,607"
189097,IN,Marion County,"$275,128"
189099,IN,Marshall County,"$152,112"
189101,IN,Martin County,"$28,678"
189103,IN,Miami County,"$146,384"
189105,IN,Monroe County,"$135,472"
189107,IN,Montgomery County,"$122,580"
189109,IN,Morgan County,"$174,802"
189111,IN,Newton County,"$46,607"
189113,IN,Noble County,"$136,783"
189115,IN,Ohio County,"$15,826"
189117,IN,Orange County,"$61,444"
189119,IN,Owen County,"$76,626"
189121,IN,Parke County,"$54,341"
189123,IN,Perry County,"$51,340"
189125,IN,Pike County,"$32,569"
189127,IN,Porter County,"$404,622"
189129,IN,Posey County,"$57,689"
189131,IN,Pulaski County,"$43,962"
189133,IN,Putnam County,"$102,756"
189135,IN,Randolph County,"$112,337"
189137,IN,Ripley County,"$84,916"
189139,IN,Rush County,"$73,849"
189141,IN,St. Joseph County,"$212,767"
189143,IN,Scott County,"$58,001"
189145,IN,Shelby County,"$128,044"
189147,IN,Spencer County,"$46,503"
189149,IN,Starke County,"$70,060"
189151,IN,Steuben County,"$108,869"
189153,IN,Sullivan County,"$67,112"
189155,IN,Switzerland County,"$44,811"
189157,IN,Tippecanoe County,"$173,748"
189159,IN,Tipton County,"$56,425"
189161,IN,Union County,"$23,321"
189163,IN,Vanderburgh County,"$116,377"
189165,IN,Vermillion County,"$68,294"
189167,IN,Vigo County,"$113,511"
189169,IN,Wabash County,"$131,203"
189171,IN,Warren County,"$25,627"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
189173,IN,Warrick County,"$134,964"
189175,IN,Washington County,"$72,739"
189177,IN,Wayne County,"$258,738"
189179,IN,Wells County,"$93,379"
189181,IN,White County,"$69,728"
189183,IN,Whitley County,"$91,535"
190138,IA,Ames,"$191,005"
190798,IA,Cedar Falls,"$86,562"
190804,IA,Cedar Rapids,"$336,068"
191134,IA,Council Bluffs,"$312,962"
191254,IA,Davenport,"$1,377,064"
191362,IA,Des Moines,"$3,269,418"
191464,IA,Dubuque,"$348,753"
192466,IA,Iowa City,"$221,127"
194812,IA,Sioux City,"$1,490,568"
195394,IA,Waterloo,"$397,204"
195508,IA,West Des Moines,"$103,605"
199001,IA,Adair County,"$29,416"
199003,IA,Adams County,"$19,035"
199005,IA,Allamakee County,"$59,822"
199007,IA,Appanoose County,"$64,177"
199009,IA,Audubon County,"$25,895"
199011,IA,Benton County,"$92,009"
199013,IA,Black Hawk County,"$59,289"
199015,IA,Boone County,"$99,059"
199017,IA,Bremer County,"$77,129"
199019,IA,Buchanan County,"$65,865"
199021,IA,Buena Vista County,"$137,650"
199023,IA,Butler County,"$61,112"
199025,IA,Calhoun County,"$45,796"
199027,IA,Carroll County,"$70,799"
199029,IA,Cass County,"$65,869"
199031,IA,Cedar County,"$59,939"
199033,IA,Cerro Gordo County,"$167,129"
199035,IA,Cherokee County,"$51,723"
199037,IA,Chickasaw County,"$45,843"
199039,IA,Clarke County,"$49,102"
199041,IA,Clay County,"$71,151"
199043,IA,Clayton County,"$79,600"
199045,IA,Clinton County,"$190,620"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
199047,IA,Crawford County,"$106,823"
199049,IA,Dallas County,"$156,094"
199051,IA,Davis County,"$58,485"
199053,IA,Decatur County,"$43,663"
199055,IA,Delaware County,"$61,082"
199057,IA,Des Moines County,"$185,734"
199059,IA,Dickinson County,"$55,270"
199061,IA,Dubuque County,"$91,177"
199063,IA,Emmet County,"$44,985"
199065,IA,Fayette County,"$96,355"
199067,IA,Floyd County,"$73,113"
199069,IA,Franklin County,"$49,726"
199071,IA,Fremont County,"$28,318"
199073,IA,Greene County,"$38,559"
199075,IA,Grundy County,"$42,559"
199077,IA,Guthrie County,"$43,751"
199079,IA,Hamilton County,"$60,436"
199081,IA,Hancock County,"$38,000"
199083,IA,Hardin County,"$65,928"
199085,IA,Harrison County,"$64,496"
199087,IA,Henry County,"$73,260"
199089,IA,Howard County,"$42,254"
199091,IA,Humboldt County,"$40,302"
199093,IA,Ida County,"$30,383"
199095,IA,Iowa County,"$62,233"
199097,IA,Jackson County,"$74,075"
199099,IA,Jasper County,"$118,677"
199101,IA,Jefferson County,"$75,014"
199103,IA,Johnson County,"$260,843"
199105,IA,Jones County,"$69,100"
199107,IA,Keokuk County,"$50,058"
199109,IA,Kossuth County,"$60,124"
199111,IA,Lee County,"$162,299"
199113,IA,Linn County,"$230,150"
199115,IA,Louisa County,"$48,274"
199117,IA,Lucas County,"$32,801"
199119,IA,Lyon County,"$33,095"
199121,IA,Madison County,"$51,656"
199123,IA,Mahaska County,"$92,170"
199125,IA,Marion County,"$97,481"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
199127,IA,Marshall County,"$175,217"
199129,IA,Mills County,"$46,887"
199131,IA,Mitchell County,"$38,185"
199133,IA,Monona County,"$47,790"
199135,IA,Monroe County,"$28,865"
199137,IA,Montgomery County,"$54,953"
199139,IA,Muscatine County,"$157,294"
199141,IA,O'Brien County,"$51,894"
199143,IA,Osceola County,"$26,384"
199145,IA,Page County,"$66,540"
199147,IA,Palo Alto County,"$32,739"
199149,IA,Plymouth County,"$80,840"
199151,IA,Pocahontas County,"$33,800"
199153,IA,Polk County,"$566,143"
199155,IA,Pottawattamie County,"$83,593"
199157,IA,Poweshiek County,"$68,607"
199159,IA,Ringgold County,"$19,145"
199161,IA,Sac County,"$45,804"
199163,IA,Scott County,"$137,649"
199165,IA,Shelby County,"$48,759"
199167,IA,Sioux County,"$115,112"
199169,IA,Story County,"$92,770"
199171,IA,Tama County,"$77,369"
199173,IA,Taylor County,"$27,267"
199175,IA,Union County,"$55,272"
199177,IA,Van Buren County,"$34,922"
199179,IA,Wapello County,"$196,774"
199181,IA,Warren County,"$124,752"
199183,IA,Washington County,"$80,316"
199185,IA,Wayne County,"$35,209"
199187,IA,Webster County,"$158,422"
199189,IA,Winnebago County,"$37,640"
199191,IA,Winneshiek County,"$72,168"
199193,IA,Woodbury County,"$70,474"
199195,IA,Worth County,"$34,326"
199197,IA,Wright County,"$57,510"
201776,KS,Kansas City,"$1,986,724"
201902,KS,Lawrence,"$240,396"
201908,KS,Leavenworth,"$108,559"
201944,KS,Lenexa,"$73,008"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
202190,KS,Manhattan City,"$177,246"
202688,KS,Overland Park,"$251,136"
203216,KS,Shawnee,"$91,030"
203408,KS,Topeka,"$1,625,413"
203696,KS,Wichita,"$2,528,975"
209001,KS,Allen County,"$41,970"
209003,KS,Anderson County,"$29,997"
209005,KS,Atchison County,"$71,342"
209007,KS,Barber County,"$23,102"
209009,KS,Barton County,"$93,309"
209011,KS,Bourbon County,"$60,024"
209013,KS,Brown County,"$43,395"
209015,KS,Butler County,"$176,907"
209017,KS,Chase County,"$11,339"
209019,KS,Chautauqua County,"$17,184"
209021,KS,Cherokee County,"$66,755"
209023,KS,Cheyenne County,"$11,956"
209025,KS,Clark County,"$8,756"
209027,KS,Clay County,"$36,269"
209029,KS,Cloud County,"$43,154"
209031,KS,Coffey County,"$27,977"
209033,KS,Comanche County,"$8,955"
209035,KS,Cowley County,"$124,226"
209037,KS,Crawford County,"$180,460"
209039,KS,Decatur County,"$13,752"
209041,KS,Dickinson County,"$75,356"
209043,KS,Doniphan County,"$27,573"
209045,KS,Douglas County,"$47,944"
209047,KS,Edwards County,"$13,873"
209049,KS,Elk County,"$14,371"
209051,KS,Ellis County,"$85,936"
209053,KS,Ellsworth County,"$23,598"
209055,KS,Finney County,"$188,143"
209057,KS,Ford County,"$160,779"
209059,KS,Franklin County,"$74,670"
209061,KS,Geary County,"$130,827"
209063,KS,Gove County,"$8,341"
209065,KS,Graham County,"$9,780"
209067,KS,Grant County,"$21,705"
209069,KS,Gray County,"$17,199"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
209071,KS,Greeley County,"$3,251"
209073,KS,Greenwood County,"$29,527"
209075,KS,Hamilton County,"$6,485"
209077,KS,Harper County,"$27,849"
209079,KS,Harvey County,"$97,925"
209081,KS,Haskell County,"$15,284"
209083,KS,Hodgeman County,"$5,597"
209085,KS,Jackson County,"$37,794"
209087,KS,Jefferson County,"$44,497"
209089,KS,Jewell County,"$17,289"
209091,KS,Johnson County,"$340,368"
209093,KS,Kearny County,"$9,664"
209095,KS,Kingman County,"$26,395"
209097,KS,Kiowa County,"$7,691"
209099,KS,Labette County,"$79,711"
209101,KS,Lane County,"$6,485"
209103,KS,Leavenworth County,"$71,636"
209105,KS,Lincoln County,"$16,658"
209107,KS,Linn County,"$41,278"
209109,KS,Logan County,"$8,855"
209111,KS,Lyon County,"$130,698"
209113,KS,McPherson County,"$78,834"
209115,KS,Marion County,"$46,799"
209117,KS,Marshall County,"$36,970"
209119,KS,Meade County,"$14,560"
209121,KS,Miami County,"$70,458"
209123,KS,Mitchell County,"$25,532"
209125,KS,Montgomery County,"$141,167"
209127,KS,Morris County,"$20,707"
209129,KS,Morton County,"$6,359"
209131,KS,Nemaha County,"$32,277"
209133,KS,Neosho County,"$72,414"
209135,KS,Ness County,"$9,666"
209137,KS,Norton County,"$17,706"
209139,KS,Osage County,"$55,023"
209141,KS,Osborne County,"$17,604"
209143,KS,Ottawa County,"$22,600"
209145,KS,Pawnee County,"$22,415"
209147,KS,Phillips County,"$20,821"
209149,KS,Pottawatomie County,"$63,398"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
209151,KS,Pratt County,"$31,178"
209153,KS,Rawlins County,"$12,099"
209155,KS,Reno County,"$215,721"
209157,KS,Republic County,"$24,683"
209159,KS,Rice County,"$40,159"
209161,KS,Riley County,"$54,786"
209163,KS,Rooks County,"$18,785"
209165,KS,Rush County,"$12,281"
209167,KS,Russell County,"$30,915"
